idx,case_idx,key,mixture_id,target_source,mixture_relpath,target_relpath,enrollment_relpath
5,1,050a0505_1.5097_440o030d_-1.5097_440o030z,050a0505_1.5097_440o030d_-1.5097,s2,tt/mix/050a0505_1.5097_440o030d_-1.5097.wav,tt/s2/050a0505_1.5097_440o030d_-1.5097.wav,wsj0/si_et_05_8k/440/440o030z.wav
6,0,050a0506_1.7744_447c0213_-1.7744_050o020t,050a0506_1.7744_447c0213_-1.7744,s1,tt/mix/050a0506_1.7744_447c0213_-1.7744.wav,tt/s1/050a0506_1.7744_447c0213_-1.7744.wav,wsj0/si_dt_05_8k/050/050o020t.wav
6,1,050a0506_1.7744_447c0213_-1.7744_447c020d,050a0506_1.7744_447c0213_-1.7744,s2,tt/mix/050a0506_1.7744_447c0213_-1.7744.wav,tt/s2/050a0506_1.7744_447c0213_-1.7744.wav,wsj0/si_et_05_8k/447/447c020d.wav
7,0,050a0506_1.9887_447c0215_-1.9887_050c010s,050a0506_1.9887_447c0215_-1.9887,s1,tt/mix/050a0506_1.9887_447c0215_-1.9887.wav,tt/s1/050a0506_1.9887_447c0215_-1.9887.wav,wsj0/si_dt_05_8k/050/050c010s.wav
7,1,050a0506_1.9887_447c0215_-1.9887_447c020b,050a0506_1.9887_447c0215_-1.9887,s2,tt/mix/050a0506_1.9887_447c0215_-1.9887.wav,tt/s2/050a0506_1.9887_447c0215_-1.9887.wav,wsj0/si_et_05_8k/447/447c020b.wav
8,0,050a0507_0.75154_423a010l_-0.75154_050c0106,050a0507_0.75154_423a010l_-0.75154,s1,tt/mix/050a0507_0.75154_423a010l_-0.75154.wav,tt/s1/050a0507_0.75154_423a010l_-0.75154.wav,wsj0/si_dt_05_8k/050/050c0106.wav
8,1,050a0507_0.75154_423a010l_-0.75154_423c0207,050a0507_0.75154_423a010l_-0.75154,s2,tt/mix/050a0507_0.75154_423a010l_-0.75154.wav,tt/s2/050a0507_0.75154_423a010l_-0.75154.wav,wsj0/si_dt_05_8k/423/423c0207.wav
9,0,050a0508_0.19796_423a010l_-0.19796_050a0505,050a0508_0.19796_423a010l_-0.19796,s1,tt/mix/050a0508_0.19796_423a010l_-0.19796.wav,tt/s1/050a0508_0.19796_423a010l_-0.19796.wav,wsj0/si_dt_05_8k/050/050a0505.wav
9,1,050a0508_0.19796_423a010l_-0.19796_423a0106,050a0508_0.19796_423a010l_-0.19796,s2,tt/mix/050a0508_0.19796_423a010l_-0.19796.wav,tt/s2/050a0508_0.19796_423a010l_-0.19796.wav,wsj0/si_dt_05_8k/423/423a0106.wav
10,0,050a0508_0.25679_052a050a_-0.25679_050c0109,050a0508_0.25679_052a050a_-0.25679,s1,tt/mix/050a0508_0.25679_052a050a_-0.25679.wav,tt/s1/050a0508_0.25679_052a050a_-0.25679.wav,wsj0/si_dt_05_8k/050/050c0109.wav
10,1,050a0508_0.25679_052a050a_-0.25679_052a050p,050a0508_0.25679_052a050a_-0.25679,s2,tt/mix/050a0508_0.25679_052a050a_-0.25679.wav,tt/s2/050a0508_0.25679_052a050a_-0.25679.wav,wsj0/si_dt_05_8k/052/052a050p.wav
11,0,050a0508_1.4465_22gc0102_-1.4465_050a050k,050a0508_1.4465_22gc0102_-1.4465,s1,tt/mix/050a0508_1.4465_22gc0102_-1.4465.wav,tt/s1/050a0508_1.4465_22gc0102_-1.4465.wav,wsj0/si_dt_05_8k/050/050a050k.wav
11,1,050a0508_1.4465_22gc0102_-1.4465_22ga010e,050a0508_1.4465_22gc0102_-1.4465,s2,tt/mix/050a0508_1.4465_22gc0102_-1.4465.wav,tt/s2/050a0508_1.4465_22gc0102_-1.4465.wav,wsj0/si_dt_05_8k/22g/22ga010e.wav
12,0,050a0509_1.158_446o030v_-1.158_050a050a,050a0509_1.158_446o030v_-1.158,s1,tt/mix/050a0509_1.158_446o030v_-1.158.wav,tt/s1/050a0509_1.158_446o030v_-1.158.wav,wsj0/si_dt_05_8k/050/050a050a.wav
12,1,050a0509_1.158_446o030v_-1.158_446c020r,050a0509_1.158_446o030v_-1.158,s2,tt/mix/050a0509_1.158_446o030v_-1.158.wav,tt/s2/050a0509_1.158_446o030v_-1.158.wav,wsj0/si_et_05_8k/446/446c020r.wav
13,0,050a0509_2.4594_443o030b_-2.4594_050c010l,050a0509_2.4594_443o030b_-2.4594,s1,tt/mix/050a0509_2.4594_443o030b_-2.4594.wav,tt/s1/050a0509_2.4594_443o030b_-2.4594.wav,wsj0/si_dt_05_8k/050/050c010l.wav
13,1,050a0509_2.4594_443o030b_-2.4594_443o030c,050a0509_2.4594_443o030b_-2.4594,s2,tt/mix/050a0509_2.4594_443o030b_-2.4594.wav,tt/s2/050a0509_2.4594_443o030b_-2.4594.wav,wsj0/si_et_05_8k/443/443o030c.wav
14,0,050a050a_0.032494_446o030v_-0.032494_050c0113,050a050a_0.032494_446o030v_-0.032494,s1,tt/mix/050a050a_0.032494_446o030v_-0.032494.wav,tt/s1/050a050a_0.032494_446o030v_-0.032494.wav,wsj0/si_dt_05_8k/050/050c0113.wav
14,1,050a050a_0.032494_446o030v_-0.032494_446c020x,050a050a_0.032494_446o030v_-0.032494,s2,tt/mix/050a050a_0.032494_446o030v_-0.032494.wav,tt/s2/050a050a_0.032494_446o030v_-0.032494.wav,wsj0/si_et_05_8k/446/446c020x.wav
15,0,050a050a_1.7521_422c020j_-1.7521_050o020s,050a050a_1.7521_422c020j_-1.7521,s1,tt/mix/050a050a_1.7521_422c020j_-1.7521.wav,tt/s1/050a050a_1.7521_422c020j_-1.7521.wav,wsj0/si_dt_05_8k/050/050o020s.wav
15,1,050a050a_1.7521_422c020j_-1.7521_422a010l,050a050a_1.7521_422c020j_-1.7521,s2,tt/mix/050a050a_1.7521_422c020j_-1.7521.wav,tt/s2/050a050a_1.7521_422c020j_-1.7521.wav,wsj0/si_dt_05_8k/422/422a010l.wav
16,0,050a050a_2.2408_422o030n_-2.2408_050o0214,050a050a_2.2408_422o030n_-2.2408,s1,tt/mix/050a050a_2.2408_422o030n_-2.2408.wav,tt/s1/050a050a_2.2408_422o030n_-2.2408.wav,wsj0/si_dt_05_8k/050/050o0214.wav
16,1,050a050a_2.2408_422o030n_-2.2408_422c0213,050a050a_2.2408_422o030n_-2.2408,s2,tt/mix/050a050a_2.2408_422o030n_-2.2408.wav,tt/s2/050a050a_2.2408_422o030n_-2.2408.wav,wsj0/si_dt_05_8k/422/422c0213.wav
17,0,050a050b_0.37193_443c020s_-0.37193_050a050p,050a050b_0.37193_443c020s_-0.37193,s1,tt/mix/050a050b_0.37193_443c020s_-0.37193.wav,tt/s1/050a050b_0.37193_443c020s_-0.37193.wav,wsj0/si_dt_05_8k/050/050a050p.wav
17,1,050a050b_0.37193_443c020s_-0.37193_443o030p,050a050b_0.37193_443c020s_-0.37193,s2,tt/mix/050a050b_0.37193_443c020s_-0.37193.wav,tt/s2/050a050b_0.37193_443c020s_-0.37193.wav,wsj0/si_et_05_8k/443/443o030p.wav
18,0,050a050c_0.050237_442c020j_-0.050237_050c0101,050a050c_0.050237_442c020j_-0.050237,s1,tt/mix/050a050c_0.050237_442c020j_-0.050237.wav,tt/s1/050a050c_0.050237_442c020j_-0.050237.wav,wsj0/si_dt_05_8k/050/050c0101.wav
18,1,050a050c_0.050237_442c020j_-0.050237_442o0301,050a050c_0.050237_442c020j_-0.050237,s2,tt/mix/050a050c_0.050237_442c020j_-0.050237.wav,tt/s2/050a050c_0.050237_442c020j_-0.050237.wav,wsj0/si_et_05_8k/442/442o0301.wav
19,0,050a050c_1.7355_052c0112_-1.7355_050a050k,050a050c_1.7355_052c0112_-1.7355,s1,tt/mix/050a050c_1.7355_052c0112_-1.7355.wav,tt/s1/050a050c_1.7355_052c0112_-1.7355.wav,wsj0/si_dt_05_8k/050/050a050k.wav
19,1,050a050c_1.7355_052c0112_-1.7355_052c010x,050a050c_1.7355_052c0112_-1.7355,s2,tt/mix/050a050c_1.7355_052c0112_-1.7355.wav,tt/s2/050a050c_1.7355_052c0112_-1.7355.wav,wsj0/si_dt_05_8k/052/052c010x.wav
20,0,050a050e_1.6411_441o030s_-1.6411_050a0503,050a050e_1.6411_441o030s_-1.6411,s1,tt/mix/050a050e_1.6411_441o030s_-1.6411.wav,tt/s1/050a050e_1.6411_441o030s_-1.6411.wav,wsj0/si_dt_05_8k/050/050a0503.wav
20,1,050a050e_1.6411_441o030s_-1.6411_441c0205,050a050e_1.6411_441o030s_-1.6411,s2,tt/mix/050a050e_1.6411_441o030s_-1.6411.wav,tt/s2/050a050e_1.6411_441o030s_-1.6411.wav,wsj0/si_et_05_8k/441/441c0205.wav
21,0,050a050f_0.59652_440c020j_-0.59652_050o0214,050a050f_0.59652_440c020j_-0.59652,s1,tt/mix/050a050f_0.59652_440c020j_-0.59652.wav,tt/s1/050a050f_0.59652_440c020j_-0.59652.wav,wsj0/si_dt_05_8k/050/050o0214.wav
21,1,050a050f_0.59652_440c020j_-0.59652_440c020w,050a050f_0.59652_440c020j_-0.59652,s2,tt/mix/050a050f_0.59652_440c020j_-0.59652.wav,tt/s2/050a050f_0.59652_440c020j_-0.59652.wav,wsj0/si_et_05_8k/440/440c020w.wav
22,0,050a050i_1.6472_422o030f_-1.6472_050a050n,050a050i_1.6472_422o030f_-1.6472,s1,tt/mix/050a050i_1.6472_422o030f_-1.6472.wav,tt/s1/050a050i_1.6472_422o030f_-1.6472.wav,wsj0/si_dt_05_8k/050/050a050n.wav
22,1,050a050i_1.6472_422o030f_-1.6472_422o0306,050a050i_1.6472_422o030f_-1.6472,s2,tt/mix/050a050i_1.6472_422o030f_-1.6472.wav,tt/s2/050a050i_1.6472_422o030f_-1.6472.wav,wsj0/si_dt_05_8k/422/422o0306.wav
23,0,050a050i_1.7445_447c0213_-1.7445_050a050k,050a050i_1.7445_447c0213_-1.7445,s1,tt/mix/050a050i_1.7445_447c0213_-1.7445.wav,tt/s1/050a050i_1.7445_447c0213_-1.7445.wav,wsj0/si_dt_05_8k/050/050a050k.wav
23,1,050a050i_1.7445_447c0213_-1.7445_447o030e,050a050i_1.7445_447c0213_-1.7445,s2,tt/mix/050a050i_1.7445_447c0213_-1.7445.wav,tt/s2/050a050i_1.7445_447c0213_-1.7445.wav,wsj0/si_et_05_8k/447/447o030e.wav
24,0,050a050i_2.067_420a010b_-2.067_050c010g,050a050i_2.067_420a010b_-2.067,s1,tt/mix/050a050i_2.067_420a010b_-2.067.wav,tt/s1/050a050i_2.067_420a010b_-2.067.wav,wsj0/si_dt_05_8k/050/050c010g.wav
24,1,050a050i_2.067_420a010b_-2.067_420a0102,050a050i_2.067_420a010b_-2.067,s2,tt/mix/050a050i_2.067_420a010b_-2.067.wav,tt/s2/050a050i_2.067_420a010b_-2.067.wav,wsj0/si_dt_05_8k/420/420a0102.wav
25,0,050a050i_2.1935_421c020b_-2.1935_050a0507,050a050i_2.1935_421c020b_-2.1935,s1,tt/mix/050a050i_2.1935_421c020b_-2.1935.wav,tt/s1/050a050i_2.1935_421c020b_-2.1935.wav,wsj0/si_dt_05_8k/050/050a0507.wav
25,1,050a050i_2.1935_421c020b_-2.1935_421o0303,050a050i_2.1935_421c020b_-2.1935,s2,tt/mix/050a050i_2.1935_421c020b_-2.1935.wav,tt/s2/050a050i_2.1935_421c020b_-2.1935.wav,wsj0/si_dt_05_8k/421/421o0303.wav
26,0,050a050j_0.72455_052c0101_-0.72455_050c010z,050a050j_0.72455_052c0101_-0.72455,s1,tt/mix/050a050j_0.72455_052c0101_-0.72455.wav,tt/s1/050a050j_0.72455_052c0101_-0.72455.wav,wsj0/si_dt_05_8k/050/050c010z.wav
26,1,050a050j_0.72455_052c0101_-0.72455_052a050t,050a050j_0.72455_052c0101_-0.72455,s2,tt/mix/050a050j_0.72455_052c0101_-0.72455.wav,tt/s2/050a050j_0.72455_052c0101_-0.72455.wav,wsj0/si_dt_05_8k/052/052a050t.wav
27,0,050a050j_1.2216_22ga0109_-1.2216_050o020z,050a050j_1.2216_22ga0109_-1.2216,s1,tt/mix/050a050j_1.2216_22ga0109_-1.2216.wav,tt/s1/050a050j_1.2216_22ga0109_-1.2216.wav,wsj0/si_dt_05_8k/050/050o020z.wav
27,1,050a050j_1.2216_22ga0109_-1.2216_22go010l,050a050j_1.2216_22ga0109_-1.2216,s2,tt/mix/050a050j_1.2216_22ga0109_-1.2216.wav,tt/s2/050a050j_1.2216_22ga0109_-1.2216.wav,wsj0/si_dt_05_8k/22g/22go010l.wav
28,0,050a050j_1.8713_440o030d_-1.8713_050o020b,050a050j_1.8713_440o030d_-1.8713,s1,tt/mix/050a050j_1.8713_440o030d_-1.8713.wav,tt/s1/050a050j_1.8713_440o030d_-1.8713.wav,wsj0/si_dt_05_8k/050/050o020b.wav
28,1,050a050j_1.8713_440o030d_-1.8713_440o0304,050a050j_1.8713_440o030d_-1.8713,s2,tt/mix/050a050j_1.8713_440o030d_-1.8713.wav,tt/s2/050a050j_1.8713_440o030d_-1.8713.wav,wsj0/si_et_05_8k/440/440o0304.wav
29,0,050a050k_0.74546_22hc010o_-0.74546_050c010n,050a050k_0.74546_22hc010o_-0.74546,s1,tt/mix/050a050k_0.74546_22hc010o_-0.74546.wav,tt/s1/050a050k_0.74546_22hc010o_-0.74546.wav,wsj0/si_dt_05_8k/050/050c010n.wav
29,1,050a050k_0.74546_22hc010o_-0.74546_22ha010m,050a050k_0.74546_22hc010o_-0.74546,s2,tt/mix/050a050k_0.74546_22hc010o_-0.74546.wav,tt/s2/050a050k_0.74546_22hc010o_-0.74546.wav,wsj0/si_dt_05_8k/22h/22ha010m.wav
30,0,050a050l_0.87662_443o0310_-0.87662_050c010x,050a050l_0.87662_443o0310_-0.87662,s1,tt/mix/050a050l_0.87662_443o0310_-0.87662.wav,tt/s1/050a050l_0.87662_443o0310_-0.87662.wav,wsj0/si_dt_05_8k/050/050c010x.wav
30,1,050a050l_0.87662_443o0310_-0.87662_443c020z,050a050l_0.87662_443o0310_-0.87662,s2,tt/mix/050a050l_0.87662_443o0310_-0.87662.wav,tt/s2/050a050l_0.87662_443o0310_-0.87662.wav,wsj0/si_et_05_8k/443/443c020z.wav
31,0,050a050l_0.96279_420o030g_-0.96279_050c010l,050a050l_0.96279_420o030g_-0.96279,s1,tt/mix/050a050l_0.96279_420o030g_-0.96279.wav,tt/s1/050a050l_0.96279_420o030g_-0.96279.wav,wsj0/si_dt_05_8k/050/050c010l.wav
31,1,050a050l_0.96279_420o030g_-0.96279_420o0314,050a050l_0.96279_420o030g_-0.96279,s2,tt/mix/050a050l_0.96279_420o030g_-0.96279.wav,tt/s2/050a050l_0.96279_420o030g_-0.96279.wav,wsj0/si_dt_05_8k/420/420o0314.wav
32,0,050a050l_1.2369_445o0305_-1.2369_050c0112,050a050l_1.2369_445o0305_-1.2369,s1,tt/mix/050a050l_1.2369_445o0305_-1.2369.wav,tt/s1/050a050l_1.2369_445o0305_-1.2369.wav,wsj0/si_dt_05_8k/050/050c0112.wav
32,1,050a050l_1.2369_445o0305_-1.2369_445c0203,050a050l_1.2369_445o0305_-1.2369,s2,tt/mix/050a050l_1.2369_445o0305_-1.2369.wav,tt/s2/050a050l_1.2369_445o0305_-1.2369.wav,wsj0/si_et_05_8k/445/445c0203.wav
33,0,050a050m_1.6347_051c010x_-1.6347_050c010h,050a050m_1.6347_051c010x_-1.6347,s1,tt/mix/050a050m_1.6347_051c010x_-1.6347.wav,tt/s1/050a050m_1.6347_051c010x_-1.6347.wav,wsj0/si_dt_05_8k/050/050c010h.wav
33,1,050a050m_1.6347_051c010x_-1.6347_051a050e,050a050m_1.6347_051c010x_-1.6347,s2,tt/mix/050a050m_1.6347_051c010x_-1.6347.wav,tt/s2/050a050m_1.6347_051c010x_-1.6347.wav,wsj0/si_dt_05_8k/051/051a050e.wav
34,0,050a050o_0.037607_444o0311_-0.037607_050c010d,050a050o_0.037607_444o0311_-0.037607,s1,tt/mix/050a050o_0.037607_444o0311_-0.037607.wav,tt/s1/050a050o_0.037607_444o0311_-0.037607.wav,wsj0/si_dt_05_8k/050/050c010d.wav
34,1,050a050o_0.037607_444o0311_-0.037607_444o030a,050a050o_0.037607_444o0311_-0.037607,s2,tt/mix/050a050o_0.037607_444o0311_-0.037607.wav,tt/s2/050a050o_0.037607_444o0311_-0.037607.wav,wsj0/si_et_05_8k/444/444o030a.wav
35,0,050a050o_0.52962_447o030c_-0.52962_050o020o,050a050o_0.52962_447o030c_-0.52962,s1,tt/mix/050a050o_0.52962_447o030c_-0.52962.wav,tt/s1/050a050o_0.52962_447o030c_-0.52962.wav,wsj0/si_dt_05_8k/050/050o020o.wav
35,1,050a050o_0.52962_447o030c_-0.52962_447c020n,050a050o_0.52962_447o030c_-0.52962,s2,tt/mix/050a050o_0.52962_447o030c_-0.52962.wav,tt/s2/050a050o_0.52962_447o030c_-0.52962.wav,wsj0/si_et_05_8k/447/447c020n.wav
36,0,050a050o_1.65_052a0511_-1.65_050a050a,050a050o_1.65_052a0511_-1.65,s1,tt/mix/050a050o_1.65_052a0511_-1.65.wav,tt/s1/050a050o_1.65_052a0511_-1.65.wav,wsj0/si_dt_05_8k/050/050a050a.wav
36,1,050a050o_1.65_052a0511_-1.65_052c010j,050a050o_1.65_052a0511_-1.65,s2,tt/mix/050a050o_1.65_052a0511_-1.65.wav,tt/s2/050a050o_1.65_052a0511_-1.65.wav,wsj0/si_dt_05_8k/052/052c010j.wav
37,0,050a050p_0.0059009_442c0206_-0.0059009_050a050f,050a050p_0.0059009_442c0206_-0.0059009,s1,tt/mix/050a050p_0.0059009_442c0206_-0.0059009.wav,tt/s1/050a050p_0.0059009_442c0206_-0.0059009.wav,wsj0/si_dt_05_8k/050/050a050f.wav
37,1,050a050p_0.0059009_442c0206_-0.0059009_442o030f,050a050p_0.0059009_442c0206_-0.0059009,s2,tt/mix/050a050p_0.0059009_442c0206_-0.0059009.wav,tt/s2/050a050p_0.0059009_442c0206_-0.0059009.wav,wsj0/si_et_05_8k/442/442o030f.wav
38,0,050a050p_2.3137_22ha010b_-2.3137_050a0514,050a050p_2.3137_22ha010b_-2.3137,s1,tt/mix/050a050p_2.3137_22ha010b_-2.3137.wav,tt/s1/050a050p_2.3137_22ha010b_-2.3137.wav,wsj0/si_dt_05_8k/050/050a0514.wav
38,1,050a050p_2.3137_22ha010b_-2.3137_22hc010v,050a050p_2.3137_22ha010b_-2.3137,s2,tt/mix/050a050p_2.3137_22ha010b_-2.3137.wav,tt/s2/050a050p_2.3137_22ha010b_-2.3137.wav,wsj0/si_dt_05_8k/22h/22hc010v.wav
39,0,050a050q_1.3825_444o0312_-1.3825_050a050g,050a050q_1.3825_444o0312_-1.3825,s1,tt/mix/050a050q_1.3825_444o0312_-1.3825.wav,tt/s1/050a050q_1.3825_444o0312_-1.3825.wav,wsj0/si_dt_05_8k/050/050a050g.wav
39,1,050a050q_1.3825_444o0312_-1.3825_444c0210,050a050q_1.3825_444o0312_-1.3825,s2,tt/mix/050a050q_1.3825_444o0312_-1.3825.wav,tt/s2/050a050q_1.3825_444o0312_-1.3825.wav,wsj0/si_et_05_8k/444/444c0210.wav
40,0,050a050s_1.1019_052c010s_-1.1019_050a0513,050a050s_1.1019_052c010s_-1.1019,s1,tt/mix/050a050s_1.1019_052c010s_-1.1019.wav,tt/s1/050a050s_1.1019_052c010s_-1.1019.wav,wsj0/si_dt_05_8k/050/050a0513.wav
40,1,050a050s_1.1019_052c010s_-1.1019_052c010b,050a050s_1.1019_052c010s_-1.1019,s2,tt/mix/050a050s_1.1019_052c010s_-1.1019.wav,tt/s2/050a050s_1.1019_052c010s_-1.1019.wav,wsj0/si_dt_05_8k/052/052c010b.wav
41,0,050a050t_0.089726_422a010e_-0.089726_050c010q,050a050t_0.089726_422a010e_-0.089726,s1,tt/mix/050a050t_0.089726_422a010e_-0.089726.wav,tt/s1/050a050t_0.089726_422a010e_-0.089726.wav,wsj0/si_dt_05_8k/050/050c010q.wav
41,1,050a050t_0.089726_422a010e_-0.089726_422c0202,050a050t_0.089726_422a010e_-0.089726,s2,tt/mix/050a050t_0.089726_422a010e_-0.089726.wav,tt/s2/050a050t_0.089726_422a010e_-0.089726.wav,wsj0/si_dt_05_8k/422/422c0202.wav
42,0,050a050x_0.63237_22ga010f_-0.63237_050o020u,050a050x_0.63237_22ga010f_-0.63237,s1,tt/mix/050a050x_0.63237_22ga010f_-0.63237.wav,tt/s1/050a050x_0.63237_22ga010f_-0.63237.wav,wsj0/si_dt_05_8k/050/050o020u.wav
42,1,050a050x_0.63237_22ga010f_-0.63237_22go0113,050a050x_0.63237_22ga010f_-0.63237,s2,tt/mix/050a050x_0.63237_22ga010f_-0.63237.wav,tt/s2/050a050x_0.63237_22ga010f_-0.63237.wav,wsj0/si_dt_05_8k/22g/22go0113.wav
43,0,050a050x_1.0327_444o030o_-1.0327_050c010h,050a050x_1.0327_444o030o_-1.0327,s1,tt/mix/050a050x_1.0327_444o030o_-1.0327.wav,tt/s1/050a050x_1.0327_444o030o_-1.0327.wav,wsj0/si_dt_05_8k/050/050c010h.wav
43,1,050a050x_1.0327_444o030o_-1.0327_444o0313,050a050x_1.0327_444o030o_-1.0327,s2,tt/mix/050a050x_1.0327_444o030o_-1.0327.wav,tt/s2/050a050x_1.0327_444o030o_-1.0327.wav,wsj0/si_et_05_8k/444/444o0313.wav
44,0,050a050x_1.2094_446c020i_-1.2094_050a050j,050a050x_1.2094_446c020i_-1.2094,s1,tt/mix/050a050x_1.2094_446c020i_-1.2094.wav,tt/s1/050a050x_1.2094_446c020i_-1.2094.wav,wsj0/si_dt_05_8k/050/050a050j.wav
44,1,050a050x_1.2094_446c020i_-1.2094_446c0205,050a050x_1.2094_446c020i_-1.2094,s2,tt/mix/050a050x_1.2094_446c020i_-1.2094.wav,tt/s2/050a050x_1.2094_446c020i_-1.2094.wav,wsj0/si_et_05_8k/446/446c0205.wav
45,0,050a050x_1.2457_446c020h_-1.2457_050o0212,050a050x_1.2457_446c020h_-1.2457,s1,tt/mix/050a050x_1.2457_446c020h_-1.2457.wav,tt/s1/050a050x_1.2457_446c020h_-1.2457.wav,wsj0/si_dt_05_8k/050/050o0212.wav
45,1,050a050x_1.2457_446c020h_-1.2457_446c020p,050a050x_1.2457_446c020h_-1.2457,s2,tt/mix/050a050x_1.2457_446c020h_-1.2457.wav,tt/s2/050a050x_1.2457_446c020h_-1.2457.wav,wsj0/si_et_05_8k/446/446c020p.wav
46,0,050a050x_2.1371_423a010f_-2.1371_050c0109,050a050x_2.1371_423a010f_-2.1371,s1,tt/mix/050a050x_2.1371_423a010f_-2.1371.wav,tt/s1/050a050x_2.1371_423a010f_-2.1371.wav,wsj0/si_dt_05_8k/050/050c0109.wav
46,1,050a050x_2.1371_423a010f_-2.1371_423a0109,050a050x_2.1371_423a010f_-2.1371,s2,tt/mix/050a050x_2.1371_423a010f_-2.1371.wav,tt/s2/050a050x_2.1371_423a010f_-2.1371.wav,wsj0/si_dt_05_8k/423/423a0109.wav
47,0,050a050z_0.68476_052o0207_-0.68476_050o020j,050a050z_0.68476_052o0207_-0.68476,s1,tt/mix/050a050z_0.68476_052o0207_-0.68476.wav,tt/s1/050a050z_0.68476_052o0207_-0.68476.wav,wsj0/si_dt_05_8k/050/050o020j.wav
47,1,050a050z_0.68476_052o0207_-0.68476_052o020j,050a050z_0.68476_052o0207_-0.68476,s2,tt/mix/050a050z_0.68476_052o0207_-0.68476.wav,tt/s2/050a050z_0.68476_052o0207_-0.68476.wav,wsj0/si_dt_05_8k/052/052o020j.wav
48,0,050a0510_1.6168_420a0113_-1.6168_050c0109,050a0510_1.6168_420a0113_-1.6168,s1,tt/mix/050a0510_1.6168_420a0113_-1.6168.wav,tt/s1/050a0510_1.6168_420a0113_-1.6168.wav,wsj0/si_dt_05_8k/050/050c0109.wav
48,1,050a0510_1.6168_420a0113_-1.6168_420o030i,050a0510_1.6168_420a0113_-1.6168,s2,tt/mix/050a0510_1.6168_420a0113_-1.6168.wav,tt/s2/050a0510_1.6168_420a0113_-1.6168.wav,wsj0/si_dt_05_8k/420/420o030i.wav
49,0,050a0511_0.75829_447o030j_-0.75829_050o020c,050a0511_0.75829_447o030j_-0.75829,s1,tt/mix/050a0511_0.75829_447o030j_-0.75829.wav,tt/s1/050a0511_0.75829_447o030j_-0.75829.wav,wsj0/si_dt_05_8k/050/050o020c.wav
49,1,050a0511_0.75829_447o030j_-0.75829_447o0311,050a0511_0.75829_447o030j_-0.75829,s2,tt/mix/050a0511_0.75829_447o030j_-0.75829.wav,tt/s2/050a0511_0.75829_447o030j_-0.75829.wav,wsj0/si_et_05_8k/447/447o0311.wav
